"","stage_I","stage_II","stage_III","stage_IV"
"ENSG00000183978.7",639,33,482.6,490
"ENSG00000184007.18",3768.5,2463,3001,3576.5
"ENSG00000184009.9",9145,13719,8383,7617
"ENSG00000184014.7",63.5485,1.1,223.585,167
"ENSG00000184047.16",85,24,46,925.5
"ENSG00000184056.14",0.0535,1.3,0.132,162
"ENSG00000184068.2",467,896,47.5,745.5
"ENSG00000184076.13",2809,3377,1735,1886
"ENSG00000184100.6",3.15,0.018,0.36,3.555
"ENSG00000184110.14",623.5,700,383,764.5
"ENSG00000184117.11",117,396,0.095,2.73
"ENSG00000184154.13",0.205,0.31,0.195,0.049
"ENSG00000184162.14",17.0325,0.19,114.5,36.5
"ENSG00000184164.14",52.05,0.33,0.083,507
"ENSG00000184178.15",0.815,0.14,0.0655,277.5395
"ENSG00000184182.18",946,127,32,56.825
"ENSG00000184203.7",1902.5,2838,963.5,726.5
"ENSG00000184205.14",1093.5,529,146,1466
"ENSG00000184207.8",12.58,68,0.065,0.0395
"ENSG00000184209.14",82.5,68,89,0.26
"ENSG00000184216.13",35.92,149,43.65,0.485
"ENSG00000184220.11",23.805,104,0.067,168
"ENSG00000184260.5",6.5325,215,2.965,127
"ENSG00000184277.12",685.5,331,733,913.5
"ENSG00000184281.14",38.5,195,221.5,165
"ENSG00000184293.7",2.9,0.21,0.016,14.025
"ENSG00000184319.15",45.05,2.1,200,0.875
"ENSG00000184371.13",115,89,30.5,200.0395
"ENSG00000184384.13",52.516,0.14,0.257,0.0645
"ENSG00000184402.14",24.0325,228,499,1.68
"ENSG00000184423.5",0.18,0.67,0.33,0.08
"ENSG00000184428.12",25.0415,0.25,6.516,0.013
"ENSG00000184432.9",1366.5,691,1096,284.5
"ENSG00000184436.11",33.0485,1,7.516,110.25
"ENSG00000184445.11",7.26,354,0.535,463.8
"ENSG00000184465.15",0.021,28,0.115,0.013
"ENSG00000184489.11",2.465,0.088,0.0505,0.0265
"ENSG00000184508.10",70.785,482,0.065,6.5
"ENSG00000184515.10",31.5325,136,0.14,389.265
"ENSG00000184517.11",293.5,4.7,0.016,0.0395
"ENSG00000184557.4",151.5,214,130.92,283.25
"ENSG00000184575.11",227.5,530,872.5,466.6
"ENSG00000184584.12",1077.5,2014,1359,2441
"ENSG00000184588.17",1521,1084,598,472
"ENSG00000184602.5",0.2225,0.07,0.1145,0.185
"ENSG00000184634.15",98.5,139,0.017,0.0395
"ENSG00000184640.17",324.1,944,102,298.5
"ENSG00000184661.13",171.521,1.5,0.0325,0.13
"ENSG00000184677.16",103.095,266,1.35,53
"ENSG00000184678.10",1.9825,0.07,0.016,105.5
"ENSG00000184730.10",222,0.16,18.5,113.525
"ENSG00000184743.12",114,447,260,795.5
"ENSG00000184752.12",2113.5,1244,881,1672.5
"ENSG00000184787.18",356,820,769.5,1437.5
"ENSG00000184840.11",288.5,216,7.35,656
"ENSG00000184863.10",350,487,486.5,80.5
"ENSG00000184887.13",45.516,0.23,0.171,0.275
"ENSG00000184897.5",16.5,0.23,0.082,30.6
"ENSG00000184898.6",0.055,0.16,345,0.038
"ENSG00000184900.15",1157,1343,62,134.7
"ENSG00000184903.9",30.5,0.3,0.016,0.235
"ENSG00000184922.13",352.5,211,21.05,464.5
"ENSG00000184924.5",74.905,420,854.5,75.575
"ENSG00000184939.15",0.1375,0.18,11,100
"ENSG00000184979.9",11.5,0.07,0.082,550.5
"ENSG00000184983.9",2133,3539,1478.5,2881
"ENSG00000184988.8",60.016,0.035,233,0.4265
"ENSG00000184990.12",493,428,130.63,251
"ENSG00000184992.10",132.2,58,91.5,3.45
"ENSG00000185009.12",30.33,6.3,679.5,0.5
"ENSG00000185019.16",63.5,28,0.0325,0.41
"ENSG00000185022.11",64,18,0.1945,1.03
"ENSG00000185024.16",167.0485,41,91.517,0.08
"ENSG00000185033.14",4.166,29,0.0825,0.12
"ENSG00000185043.10",1816,3437,3088,2406
"ENSG00000185046.18",61.5,6.2,0.0485,0.13
"ENSG00000185049.14",408.5,0.07,166.9,2.725
"ENSG00000185055.10",90.5,14,0.016,0.88
"ENSG00000185088.13",780,1202,27,1353.5
"ENSG00000185104.19",210.6,201,1.16,2.325
"ENSG00000185115.5",160.885,0.6,151.85,37.2
"ENSG00000185122.10",59.885,230,42.155,1.35
"ENSG00000185127.6",6.23,0.18,0.09,0.763
"ENSG00000185129.5",65.63,191,25.0325,121.275
"ENSG00000185158.12",30.5,89,249.5345,260
"ENSG00000185163.9",53,4.3,0.16,0.065
"ENSG00000185164.14",456,34,237,56.68
"ENSG00000185187.12",222.95,0.33,0.016,190
"ENSG00000185189.17",5.35,30,0.017,0.075
"ENSG00000185201.16",2945,3617,1261,2139.5
"ENSG00000185215.8",1.09,0.088,2.43,0.355
"ENSG00000185219.16",0.716,0.21,0.017,29.025
"ENSG00000185236.11",8.5,3.2,0.0325,56.575
"ENSG00000185246.17",1076,894,608,378.5
"ENSG00000185262.8",135,155,288,6.25
"ENSG00000185271.7",0.021,0.035,0.016,0.025
"ENSG00000185278.15",72.13,0.07,0.115,42.05
"ENSG00000185298.12",129.595,90,41.516,558.5
"ENSG00000185304.14",160,64,15.3,2394.5
"ENSG00000185305.10",1.7325,0.11,0.016,1.1
"ENSG00000185338.4",114.5,0.018,4.6,26.12
"ENSG00000185344.13",222,6.6,27.517,146.125
"ENSG00000185359.12",9.63,72,0.016,95.5
"ENSG00000185404.16",235.55,879,426,59.65
"ENSG00000185414.19",23.65,0.11,0.0495,0.115
"ENSG00000185418.15",102.565,93,0.275,17.75
"ENSG00000185420.18",88.645,0.14,0.0495,134.5
"ENSG00000185432.11",80.15,0.74,0.99,65.4
"ENSG00000185436.11",0.0345,0.088,42.5,0.22
"ENSG00000185442.12",26.516,74,0.0495,234.5
"ENSG00000185453.12",0.6,3.4,0.0345,0.0515
"ENSG00000185475.10",65.75,303,273.65,331.45
"ENSG00000185477.4",2187,2376,1237,1811
"ENSG00000185507.19",26.115,8.9,0.2375,128
"ENSG00000185515.14",20.7,37,17.017,64.12
"ENSG00000185591.9",93,28,65.065,189.5
"ENSG00000185596.16",219,94,91,29.63
"ENSG00000185608.8",76.6,334,238.0485,267.5
"ENSG00000185619.18",151.0485,309,0.38,1015
"ENSG00000185621.11",0.0485,0.053,0.016,0.215
"ENSG00000185624.14",690,540,485,735.5
"ENSG00000185627.17",309.5,1197,123,490.5
"ENSG00000185630.18",0.065,0.018,0.086,0.063
"ENSG00000185641.6",47.5,46,34.5,32.5
"ENSG00000185650.9",1750,3997,1258,3085
"ENSG00000185651.14",3178,3090,1264,3227.5
"ENSG00000185658.13",939.5,544,692,647
"ENSG00000185669.5",30.516,0.018,0.016,0.115
"ENSG00000185684.13",3.7825,0.11,159,48.655
"ENSG00000185697.16",1.616,0.23,0.115,118.5
"ENSG00000185710.9",197,208,57.016,378.1
"ENSG00000185716.11",55.516,0.018,0.411,0.12
"ENSG00000185721.12",310.355,263,22.66,307
"ENSG00000185722.16",269.5,97,14.1,136.025
"ENSG00000185728.16",308.5,540,269.3,361.5
"ENSG00000185745.9",0.99,0.035,109.0485,321.5
"ENSG00000185753.12",152.016,184,1.105,145.6
"ENSG00000185787.14",2961,3178,2271.5,3721
"ENSG00000185808.13",16.37,0.088,70.29,229
"ENSG00000185811.17",2376.5,1727,995.75,1200
"ENSG00000185825.15",1043.5,1206,322.5,1994.5
"ENSG00000185829.17",139.5,1.5,98.5,101.3
"ENSG00000185834.10",23,24,13.9,16
"ENSG00000185838.13",0.0465,0.28,0.0345,0.0395
"ENSG00000185839.3",3.225,1.6,4.65,0.275
"ENSG00000185862.6",1014.5,3036,1122.5,3325
"ENSG00000185864.16",255,353,346,376.5
"ENSG00000185880.12",78.5,105,46.45,115.675
"ENSG00000185883.11",47.5,15,6.145,71.5
"ENSG00000185885.15",8223,11691,2200.5,5920
"ENSG00000185896.10",155.1,113,118.05,13.195
"ENSG00000185905.3",2536,1509,984,3047
"ENSG00000185946.15",419.5,133,239.5,74.625
"ENSG00000185947.14",781.5,755,85.5,512.5
"ENSG00000185950.8",132.095,389,184.415,113.5
"ENSG00000185963.13",142,304,49.5,28.5
"ENSG00000185973.10",5.03,14,0.0325,0.0065
"ENSG00000185986.11",9.565,52,0.1,0.115
"ENSG00000185989.10",1.266,24,0.0485,212
"ENSG00000186001.12",217.5,0.49,0.326,17.5
"ENSG00000186010.18",3436,2438,1631.5,3179.5
"ENSG00000186020.12",6.516,37,0.0325,48
"ENSG00000186063.12",20.65,567,214,244.5
"ENSG00000186076.5",37.5,49,0.008,27.5
"ENSG00000186104.10",21.516,13,3.81,70.1
"ENSG00000186130.4",75.516,0.12,484.615,94.013
"ENSG00000186132.14",52.675,50,271,6.5395
"ENSG00000186153.16",25.065,128,17,27.025
"ENSG00000186162.10",29.5,0.75,518.5,108.55
"ENSG00000186166.8",175,107,2.03,202
"ENSG00000186184.16",331.5,213,107,115.25
"ENSG00000186187.11",221.805,414,1025.5,382.7
"ENSG00000186197.13",177.3,85,0.382,2.05
"ENSG00000186222.4",145.5325,74,0.112,0.065
"ENSG00000186265.9",690.5,1315,445.5,581.075
"ENSG00000186283.13",43.565,0.19,0.9845,220.6
"ENSG00000186298.11",461,1172,763.5,526.5
"ENSG00000186350.9",0.0625,40,0.017,0.115
"ENSG00000186352.8",98,331,351.24,662
"ENSG00000186395.7",365.5,21,571.12,33
"ENSG00000186409.14",0.0485,28,0.26,0.0265
"ENSG00000186416.13",230,0.088,121.5325,590
"ENSG00000186432.8",419.85,1284,372,435
"ENSG00000186468.12",2522.5,4051,3448,2519
"ENSG00000186469.8",3246,3066,1233.5,1907
"ENSG00000186470.13",1418.5,749,659,1891.5
"ENSG00000186480.12",1227,1027,1308.5,781
"ENSG00000186517.13",459.5,895,51.25,5.95
"ENSG00000186564.5",0.0325,0.035,0.0485,0.1
"ENSG00000186566.12",306.5,790,336,168
"ENSG00000186575.17",1079,247,291.15,747
"ENSG00000186577.12",2.605,12,1.0325,262.5
"ENSG00000186591.11",1069.5,376,1022.5,153.4
"ENSG00000186594.14",54.08,0.14,160.55,0.9
"ENSG00000186625.13",201.565,138,55.885,0.575
"ENSG00000186654.20",6.05,2.1,0.17,71
"ENSG00000186660.14",227.5,186,172,8.55
"ENSG00000186666.5",0.18,0.14,0.1295,153
"ENSG00000186714.12",14,14,15.35,4.9
"ENSG00000186716.20",145.5,0.053,0.016,85.65
"ENSG00000186787.8",44,0.035,0.0485,0.08
"ENSG00000186810.7",3.65,444,1.95,0.12
"ENSG00000186812.12",124.5,0.12,9,271.5
"ENSG00000186815.12",447.84,0.035,0.361,0.13
"ENSG00000186827.10",166,116,72.95,662.5
"ENSG00000186834.3",591.5,213,36.805,520.5
"ENSG00000186866.16",20.0325,29,100,0.225
"ENSG00000186891.13",335,354,5.75,507.5
"ENSG00000186908.14",49.55,243,521.36,0.535
"ENSG00000186918.13",5.5,67,27.36,6.375
"ENSG00000186919.12",257.1,4.2,49.5325,3.213
"ENSG00000186940.6",0.435,1.9,0.07,0.22
"ENSG00000186951.16",35.065,190,1144.5,233.013
"ENSG00000186960.10",0.0395,0.37,0.097,0.0645
"ENSG00000187024.14",45.385,445,1.7,40
"ENSG00000187051.8",916.5,782,5.855,1821.5
"ENSG00000187097.12",13.29,5.4,0.475,19
"ENSG00000187098.14",0.8,0.018,0.1145,0.05
"ENSG00000187109.13",2651.5,3374,1743,4213.5
"ENSG00000187116.13",0.175,0.088,0.235,0.05
"ENSG00000187118.12",162.5,1164,78.5,119.5
"ENSG00000187164.19",1.01,0.018,0.175,1
"ENSG00000187193.8",703,79,0.0345,41.075
"ENSG00000187210.12",191,3.6,354.5,137
"ENSG00000187231.13",0.181,115,0.1185,0.315
"ENSG00000187239.16",2380,2597,1971.5,1540
"ENSG00000187257.15",1779.5,395,22,1046.5
"ENSG00000187266.13",24.5,0.018,0.016,83.5
"ENSG00000187325.4",30.5,6.8,10.017,4.875
"ENSG00000187391.19",0.023,0.035,0.017,0.0765
"ENSG00000187446.11",5234,4406,1655.5,4826.5
"ENSG00000187510.8",0.525,0.018,0.016,0.065
"ENSG00000187514.16",21748,19325,13779.5,22405
"ENSG00000187522.14",1101,34,2.85,4.7
"ENSG00000187531.13",108.5485,0.21,133.13,1.85
"ENSG00000187534.6",58.5,28,42.4,66
"ENSG00000187555.14",1386.5,660,905,485.5
"ENSG00000187601.4",811,1446,0.2575,1905.5
"ENSG00000187607.15",1081.5,575,9.195,1987.5
"ENSG00000187608.8",2844.5,5610,874,1730
"ENSG00000187627.15",1377.5,843,600,4002.5
"ENSG00000187630.15",47.335,93,0.016,0.0265
"ENSG00000187653.11",6.8,8.7,1.75,2.5
"ENSG00000187688.14",125,72,0.275,16.55
"ENSG00000187713.6",18.225,2,0.016,0.0265
"ENSG00000187735.13",1055.5,755,372.5,1361
"ENSG00000187736.12",94.5325,29,126.725,0.09
"ENSG00000187741.14",29,179,0.05,6.325
"ENSG00000187742.14",112.71,105,570.0485,266.5
"ENSG00000187764.11",314,586,341.0345,310.5
"ENSG00000187778.13",53.695,10,2.045,35.66
"ENSG00000187790.10",8,216,126,103.555
"ENSG00000187837.3",153.71,209,61.81,2.07
"ENSG00000187838.16",57,21,14.5,118.08
"ENSG00000187840.4",15,4.4,70,270.95
"ENSG00000187866.8",46.065,249,36.5,48.013
"ENSG00000187951.10",13.08,0.19,0.0325,31
"ENSG00000187953.10",9.5485,0.053,0.08,70.59
"ENSG00000187994.13",251,1.3,0.016,0.14
"ENSG00000188002.10",101.3,392,0.26,0.09
"ENSG00000188021.8",59.5,128,51,387.5
"ENSG00000188033.9",11.575,18,131,0.13
"ENSG00000188042.7",936,2603,819,767.5
"ENSG00000188092.14",8.12,266,0.0655,278.345
"ENSG00000188177.13",38.645,0.44,0.0345,10.0265
"ENSG00000188186.10",836.5,1464,346.85,295.5
"ENSG00000188215.9",153.3,1.1,0.225,0.145
"ENSG00000188219.14",2.275,1.9,0.185,3.35
"ENSG00000188227.12",0.016,0.018,0.0325,193
"ENSG00000188229.5",189.8,300,4.45,437.6
"ENSG00000188242.4",30.595,81,2.7,0.08
"ENSG00000188243.12",1770.5,3242,819,1196
"ENSG00000188305.5",0.007,0.23,0.082,0.163
"ENSG00000188312.13",54.5325,4.3,116.8,5.013
"ENSG00000188313.12",567,1814,976,1550.5
"ENSG00000188315.7",9,114,2.045,9.7
"ENSG00000188321.13",1.066,0.018,84.0325,0.013
"ENSG00000188342.11",104.75,106,21.21,167.6
"ENSG00000188352.12",159.5,0.26,0.016,0.0765
"ENSG00000188375.4",11.55,11,7.1,10.55
"ENSG00000188389.10",16.4,7.6,20.25,18.2
"ENSG00000188404.8",1181.5,2358,790.5,1871
"ENSG00000188419.13",82,0.56,335.0325,833.25
"ENSG00000188428.19",265.5325,153,456.017,31.5
"ENSG00000188452.13",1657.5,446,1410,475
"ENSG00000188459.4",3.85,2.6,2.8,5.95
"ENSG00000188486.3",15,234,78,5.55
"ENSG00000188512.6",0.465,0.63,0.0495,0.22
"ENSG00000188522.14",27.5325,22,0.033,0.08
"ENSG00000188529.14",1614,1645,939.5,2050.5
"ENSG00000188536.12",0.8,0.41,0.325,0.09
"ENSG00000188542.9",0.1565,3.9,0.016,0.18
"ENSG00000188554.13",540,96,19.25,421
"ENSG00000188559.13",45.615,35,0.016,3.95
"ENSG00000188596.10",8.5,0.053,0.016,0.0265
"ENSG00000188599.17",18.145,2.6,1.5,122.5265
"ENSG00000188603.18",464.5,116,24,323.525
"ENSG00000188612.11",2914.5,4293,861,3151
"ENSG00000188641.12",99.115,54,0.2445,0.115
"ENSG00000188647.12",310.66,428,378.35,0.25
"ENSG00000188672.17",0.0485,0.053,0.017,0.013
"ENSG00000188677.14",16.016,5.6,102.05,57.5
"ENSG00000188690.12",170.195,13,0.0505,330
"ENSG00000188725.7",426,183,0.095,377.81
"ENSG00000188732.10",72.565,7.5,0.6,25.13
"ENSG00000188735.12",369,423,363,492
"ENSG00000188738.14",0.15,0.34,0.33,0.4645
"ENSG00000188739.14",713.5,798,761.5,1756
"ENSG00000188765.7",4.55,6.8,1.07,2.3
"ENSG00000188785.11",586,25,0.0325,62.5
"ENSG00000188786.9",128,48,104.195,144
"ENSG00000188811.13",210.5,0.49,0.08,0.27
"ENSG00000188820.12",0.515,1.1,1.117,0.0395
"ENSG00000188846.13",1925.5,2424,1304,2077.5
"ENSG00000188873.4",1.135,1,0.66,0.715
"ENSG00000188895.11",1063,423,10.55,30.7
"ENSG00000188921.13",650.5,655,27.08,2.55
"ENSG00000188938.15",19.75,369,3.2,30.5
"ENSG00000188976.10",9.016,0.21,73,0.325
"ENSG00000188986.6",14.58,0.018,1.8,7.013
"ENSG00000188994.12",1904,2643,804,1912
"ENSG00000189007.15",48.775,197,84,9
"ENSG00000189013.14",47.62,3.2,0.315,7.5
"ENSG00000189042.13",91.0325,0.088,0.13,0.41
"ENSG00000189043.9",2965.5,4896,1910,3390
"ENSG00000189050.15",578,0.65,354,488.5
"ENSG00000189057.10",27.645,75,0.415,2.6
"ENSG00000189067.12",1586.5,1738,736.5,991.5
"ENSG00000189077.10",18,76,30.565,0.155
"ENSG00000189079.15",1974.5,793,394,873
"ENSG00000189091.12",143.6,263,0.0825,64.6
"ENSG00000189114.6",482.5,14,383.5,86.5
"ENSG00000189136.8",38.595,0.11,0.0345,0.08
"ENSG00000189144.13",0.024,0.018,0.175,0.0395
"ENSG00000189159.15",568.3,551,790,201
"ENSG00000189180.15",186,166,43.565,0.985
"ENSG00000189190.9",174,142,19.5,86.525
"ENSG00000189227.5",143.775,317,0.156,123.5
"ENSG00000189233.11",0.564,0.035,0.0505,0.26
"ENSG00000189241.6",4131,1260,4368,8216.5
"ENSG00000189266.11",1475.5,1935,304.15,2304.5
"ENSG00000189306.10",258.5,535,98.08,172
"ENSG00000189308.10",27.45,196,0.192,0.325
"ENSG00000189319.13",38.95,46,0.716,158
"ENSG00000189339.11",563.5,813,3.1985,290
"ENSG00000189343.7",26,27,28,16
"ENSG00000189350.12",72,19,0.016,11
"ENSG00000189362.11",50.5,158,0.156,0.31
"ENSG00000189369.8",20,0.19,852.66,48.5
"ENSG00000189376.11",149.695,190,0.082,27.62
"ENSG00000189403.14",8963.5,8709,6340.5,8573.5
"ENSG00000196072.11",552.1,543,802.5,217
"ENSG00000196092.12",9,0.11,0.716,0.305
"ENSG00000196116.7",0.007,5.6,7.0485,247.5
"ENSG00000196126.11",583.5,418,3022,704.5
"ENSG00000196136.17",3.6,0.018,0.0325,0.025
"ENSG00000196139.13",6.5,0.035,0.13,517.55
"ENSG00000196141.13",318.5,586,293,315
"ENSG00000196154.11",10334,12153,4815.5,8101.5
"ENSG00000196177.12",438.5,9.3,0.8485,71.84
"ENSG00000196182.10",54.065,1.2,0.2225,66.5
"ENSG00000196183.5",0.1085,0.26,0.14,0.14
"ENSG00000196187.11",11.71,0.018,0.016,0.3765
"ENSG00000196189.12",2.435,28,0.0505,0.4
"ENSG00000196199.13",960,724,1031,1662
"ENSG00000196204.11",323.5,123,126,99.7
"ENSG00000196205.8",620,690,303.5,648
"ENSG00000196214.10",4.2,168,0.017,120.3
"ENSG00000196220.15",27.5485,0.018,0.016,93.555
"ENSG00000196227.10",22.58,0.26,91.5,17.59
"ENSG00000196230.12",280.5,274,2507,988
"ENSG00000196233.13",1048,489,471.5,536.5
"ENSG00000196235.13",450,186,299,229
"ENSG00000196236.12",0.457,90,0.17,3.05
"ENSG00000196247.11",665.5,9.4,5.516,0.0265
"ENSG00000196262.13",2942,3305,4666.5,2005.5
"ENSG00000196267.12",0.0505,166,0.017,0.8
"ENSG00000196268.11",2.615,0.07,0.276,0.0265
"ENSG00000196274.5",0.675,0.77,0.1295,0.13
"ENSG00000196275.13",66.5,0.045,0.017,13.625
"ENSG00000196284.15",196.5,96,0.016,102.225
"ENSG00000196295.11",53.55,226,72,359.95
"ENSG00000196305.17",138.645,161,0.555,434.5
"ENSG00000196313.11",70.855,32,8.2,66.5
"ENSG00000196323.12",351.5,480,14.2,289.5
"ENSG00000196329.11",533.75,634,452.5,636.5
"ENSG00000196352.14",459,402,1012.5,674
"ENSG00000196363.9",4.766,82,0.355,248.5
"ENSG00000196365.11",9.665,0.51,117.5,78
"ENSG00000196367.12",356.5,256,0.265,259.5
"ENSG00000196369.11",119.5,26,194,44.2
"ENSG00000196371.3",0.0485,0.018,0.0345,0.0395
"ENSG00000196387.9",40,0.018,466,268.025
"ENSG00000196396.9",610.5,1870,264.5,1324
"ENSG00000196405.12",598,434,1217,374.5
"ENSG00000196417.12",132.5,0.11,35,369.15
"ENSG00000196418.12",98.695,0.018,0.0345,5.513
"ENSG00000196419.12",2117,1481,1957.5,1065.5
"ENSG00000196428.12",373,387,181.5,1458.5
"ENSG00000196436.8",5.08,0.38,9.0325,0.17
"ENSG00000196437.10",1.05,715,0.195,93.315
"ENSG00000196449.3",68.065,0.75,0.165,0.165
"ENSG00000196455.7",24,129,0.1495,0.0265
"ENSG00000196458.10",0.0995,0.12,0.0345,24.525
"ENSG00000196459.13",660.5,134,819,470
"ENSG00000196465.10",37.26,0.07,74.21,0.235
"ENSG00000196470.11",54.0325,45,1.7,171.5
"ENSG00000196498.13",28.115,377,0.185,204
"ENSG00000196502.11",0.0695,0.053,4.7,0.0265
"ENSG00000196504.15",1274.5,1952,1321.5,1982.5
"ENSG00000196505.10",119,0.18,0.765,531.525
"ENSG00000196507.10",0.221,0.018,21.5,0.1
"ENSG00000196526.10",0.0925,3.2,0.016,109.5
"ENSG00000196531.10",2362.5,4467,2524,4916.5
"ENSG00000196534.5",0.014,0.018,0.016,0.038
"ENSG00000196535.15",0.866,157,84,42.5
"ENSG00000196544.7",49.0325,153,31.016,0.13
"ENSG00000196547.14",89.5485,144,22.5,473.95
"ENSG00000196549.10",0.091,0.035,0.0345,0.185
"ENSG00000196562.14",0.1685,0.25,0.0345,260.0265
"ENSG00000196586.13",33.95,0.18,0.5,0.9
"ENSG00000196588.14",99.5,446,0.0485,158
"ENSG00000196591.11",355.6,411,427,212.2
"ENSG00000196604.12",0.12,0.19,0.0185,0.13
"ENSG00000196605.7",23.5485,0.053,25,0.038
"ENSG00000196628.15",3.7985,1.3,13.985,41.3
"ENSG00000196636.7",198.5,27,151.5,360.4
"ENSG00000196642.18",13,0.07,110.58,55.565
"ENSG00000196652.11",77.5,88,37.017,0.0265
"ENSG00000196655.11",1319.5,770,180,958.5
"ENSG00000196656.7",100.5,390,106,121.5
"ENSG00000196663.15",0.2295,0.053,3.8,0.013
"ENSG00000196683.10",673,833,13.79,330
"ENSG00000196684.12",102.605,86,332,62.8
"ENSG00000196693.14",2.316,0.035,12.145,0.0265
"ENSG00000196696.12",6.1,0.12,0.033,0.36
"ENSG00000196704.11",86.74,1.3,0.185,555
"ENSG00000196712.17",299,217,336.965,515.5
"ENSG00000196715.5",11.58,50,0.26,279.5
"ENSG00000196735.11",227.05,196,235.1,159.2
"ENSG00000196743.8",0.2275,0.21,0.3,362.5
"ENSG00000196756.11",60.0485,672,13.13,63.38
"ENSG00000196757.7",0.007,0.035,0.095,0.0265
"ENSG00000196776.14",1569,2282,1711.5,6002
"ENSG00000196787.3",0.0435,0.4,0.017,41
"ENSG00000196792.11",857.5,1658,3011.5,2211
"ENSG00000196810.4",22.3,0.035,0.016,288.5
"ENSG00000196812.4",772.0485,39,0.016,77.9
"ENSG00000196821.9",230,30,470,322.5
"ENSG00000196832.4",8.59,0.053,6.5,0.1145
"ENSG00000196839.12",488.5,317,0.445,4.1
"ENSG00000196843.15",300.5,594,284.5,199
"ENSG00000196850.5",667,50,156.5,519.15
"ENSG00000196865.4",249.5,475,76.145,0.013
"ENSG00000196873.15",63.76,111,22.5,215
"ENSG00000196911.10",116.0485,384,17,289.2
"ENSG00000196912.12",941,1259,340,442.5
"ENSG00000196914.8",849.5,496,95.5,111.5
"ENSG00000196924.14",182.5,801,228,442
"ENSG00000196933.5",0.1405,0.2,0.263,0.19
"ENSG00000196935.8",0.19,0.018,0.28,0.013
"ENSG00000196937.10",103,117,0.1645,498.5
"ENSG00000196950.13",71.1,0.82,207.5,250
"ENSG00000196954.13",1048.5,580,273,1960
"ENSG00000196961.12",5.5,2.4,0.12,66.5265
"ENSG00000196967.10",168,0.63,64,0.7
"ENSG00000196968.10",203.42,77,0.145,75.525
"ENSG00000196975.15",31.76,151,0.225,37.175
"ENSG00000196976.7",232.6,29,238.55,74
"ENSG00000196998.17",61.5,851,57.016,377
"ENSG00000197006.13",99.65,519,869,181
"ENSG00000197008.9",0.126,164,0.225,3.075
"ENSG00000197019.4",47.305,212,17.225,50.125
"ENSG00000197020.10",81.016,88,9,0.0265
"ENSG00000197021.8",385.5,47,375,151.05
"ENSG00000197024.8",252.5,0.16,0.033,97.0265
"ENSG00000197043.13",173.5,67,34.4,57.075
"ENSG00000197045.12",176.825,238,49.5325,274.5
"ENSG00000197050.10",1.8325,217,0.966,10.5
"ENSG00000197056.9",3.6485,0.11,566.5,0.013
"ENSG00000197057.9",95.645,1.3,17,177.5
"ENSG00000197061.4",3057,4921,4987,5941
"ENSG00000197062.11",73.5325,0.035,0.21,156.5
"ENSG00000197063.10",355.5,59,1.066,0.0265
"ENSG00000197077.13",27.0325,0.11,0.016,0.0395
"ENSG00000197081.12",58,157,219.74,34.175
"ENSG00000197102.10",2013.5,722,498,464
"ENSG00000197111.15",1688.5,2015,1410.5,1820
"ENSG00000197114.11",37.36,0.053,1.966,32
"ENSG00000197121.14",78.065,21,182.017,21.475
"ENSG00000197136.4",0.48,181,75.5,0.038
"ENSG00000197142.10",199.0325,824,788.5,117.05
"ENSG00000197147.13",324,141,0.017,58.275
"ENSG00000197149.5",1.5,0.1,0.048,0.1595
"ENSG00000197150.12",0.715,157,0.017,26.5
"ENSG00000197157.10",26.675,191,97.605,0.405
"ENSG00000197165.10",0.016,0.018,0.24,1.2
"ENSG00000197170.9",1054.5,1721,213.5,294
"ENSG00000197180.2",0.4045,0.07,0.205,345.5
"ENSG00000197183.14",221.5,12,1.695,531
"ENSG00000197217.12",641,103,1.195,263
"ENSG00000197223.11",248,226,361,227.5
"ENSG00000197226.12",26.8,114,1.317,0.38
"ENSG00000197238.4",14,140,47,193.5
"ENSG00000197245.5",0.28,0.25,0.1495,0.19
"ENSG00000197249.13",13.645,0.12,0.575,71.525
"ENSG00000197253.13",38,18,1.905,78.5
"ENSG00000197258.5",25.5,21,36,2.775
"ENSG00000197265.8",53,0.23,29.695,0.675
"ENSG00000197275.13",27.5,0.77,0.135,1
"ENSG00000197279.3",137.6,0.07,0.0505,0.85
"ENSG00000197291.8",0.007,0.018,0.016,0.013
"ENSG00000197296.5",0.014,0.018,19,0.1145
"ENSG00000197299.10",732,158,61.6,242
"ENSG00000197302.10",13.255,269,0.017,14.5
"ENSG00000197312.11",46,362,240.57,161.5
"ENSG00000197321.14",13.805,173,0.017,181.85
"ENSG00000197323.11",1203.5,589,89,97.25
"ENSG00000197324.8",380.5,184,292.5,258.5
"ENSG00000197329.11",1156.5,523,698.5,1013
"ENSG00000197343.10",374.87,726,199.5,1279
"ENSG00000197345.12",724.5,524,273.5,539.5
"ENSG00000197355.10",0.0325,4.9,14.0325,0.013
"ENSG00000197362.14",0.1145,0.07,0.0345,33.0265
"ENSG00000197372.9",108.08,3,0.0345,269
"ENSG00000197375.12",109,0.56,0.935,56.5
"ENSG00000197381.15",104.5,29,62.095,0.4515
"ENSG00000197386.10",30.0325,36,0.07,0.25
"ENSG00000197405.7",0.122,0.7,1.9,0.195
"ENSG00000197417.7",14,0.018,0.016,0.105
"ENSG00000197442.9",303.5,150,114.8,211.5
"ENSG00000197448.13",1852,2832,439,1128.5
"ENSG00000197451.11",157.1,153,483.5,115.5
