"","stage1","stage2","stage3","stage4"
"BLOC1S3",429,0,0,421
"BLOC1S4",4,0,1,33
"BLOC1S5",297,477,8,396
"BLOC1S6",380,1651,170,337
"BLVRA",6,643,536,219
"BLVRB",5,144,157,135
"BLZF1",9,883,0,12
"BMF",315,0,134,200
"BMI1",42,0,259,237
"BMPR1A",0,1,0,33
"BMPR2",195,77,392,433
"BMS1",273,539,15,370
"BMT2",31,131,0,99
"BNIP1",6,0,0,22
"BNIP2",893,372,1362,1476
"BNIP3",308,0,193,0
"BNIP3L",540,3549,300,512
"BOD1",0,476,88,97
"BOD1L1",1619,1297,2181,1193
"BOLA1",0,0,0,0
"BOLA2",149,897,241,144
"BOLA2B",313,1426,622,356
"BOLA2-SMG1P6",169,722,55,283
"BOLA3",1,16,21,202
"BORA",15,10,192,23
"BORCS5",802,58,1098,149
"BORCS7",645,1081,413,498
"BPGM",0,198,0,1
"BPHL",145,50,48,63
"BPNT1",6,10,10,1
"BPTF",920,2910,1492,1380
"BPTFP1",0,0,0,0
"BRAF",401,299,439,360
"BRAP",132,0,87,57
"BRCA2",124,105,421,398
"BRCC3",3,35,0,103
"BRD1",36,10,306,103
"BRD2",1287,1691,605,1106
"BRD3",1053,304,130,826
"BRD4",170,455,286,798
"BRD7",239,10,1106,242
"BRD7P2",1,0,3,1
"BRD8",111,392,176,358
"BRD9",82,8,0,78
"BRI3",40,69,0,11
"BRI3BP",21,0,235,19
"BRIX1",605,1008,312,934
"BRK1",202,501,240,334
"BRMS1",185,0,146,111
"BRMS1L",470,1,1,62
"BROX",399,1091,353,1297
"BRPF1",10,1,7,8
"BRPF3",0,0,0,95
"BRWD1",291,1169,201,800
"BRWD3",19,125,0,0
"BSCL2",41,0,186,32
"BSDC1",23,0,53,110
"BSG",82,86,287,457
"BST2",153,3,10,211
"BTAF1",447,617,446,487
"BTBD1",47,503,31,77
"BTBD10",10,0,4,606
"BTBD2",12,0,3,0
"BTBD6",0,0,0,10
"BTBD7",51,189,96,3
"BTBD9",3,1,1,276
"BTD",5,0,49,57
"BTF3",1718,5151,2225,3124
"BTF3L4",236,0,164,208
"BTF3L4P2",3,0,19,44
"BTF3P10",0,1,0,0
"BTF3P5",0,0,0,0
"BTG1",3627,7776,8564,7071
"BTG2",859,1886,118,412
"BTG3",79,1,7,201
"BTG3-AS1",0,0,0,0
"BTK",272,78,1263,268
"BTLA",472,363,1324,210
"BTN2A1",87,1453,439,253
"BTN3A1",43,14,52,1
"BTN3A2",21,1,715,412
"BTN3A3",0,250,1,163
"BTNL9",0,0,218,1
"BTRC",9,0,101,279
"BUB1",0,1,0,0
"BUB3",1353,1604,282,1270
"BUD13",0,0,20,45
"BUD23",700,919,808,272
"BUD31",1599,2360,715,1006
"BYSL",18,0,10,22
"BZW1",1140,1811,1498,3405
"BZW1P2",19,1,30,60
"BZW2",36,0,52,422
"C10orf88",0,0,0,4
"C11orf1",55,246,0,0
