node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
CMPK1,18,0.26242,8,8,13.866,3,0.19924,192.73333,6.07012,346.28924,3250,0.32143
CHD7,11,0.25931,5,8,9.785,2,0.19924,186.4,5.95838,544.27904,5806,0.14286
FNBP4,193,0.62199,7,8,18.336,1,0.16604,182.81667,5.8883,118.79494,1128,0.60714
ING3,11,0.25931,5,8,6.469,2,0.16604,172.11667,5.69322,976.10732,10420,0.14286
TTC1,11,0.46346,3,8,13.819,1,0.19924,198.2,6.14777,295.37948,3190,0.10714
LARP4B,22,0.29157,8,8,17.123,1,0.19924,195.85,6.10042,146.99764,1806,0.35714
NPC2,146,0.61814,6,8,14.216,1,0.16604,195.51667,6.10421,85.43318,916,0.5
ACIN1,290,0.55399,8,8,24.307,1,0.16604,185.25,5.91103,7.6534,184,0.67857
S100A11,242,0.66569,6,8,8.136,2,0.16604,181.61667,5.88262,1107.50635,9376,0.5
TP53INP1,11,0.25931,5,8,9.686,1,0.19924,187.2,5.983,287.81504,2676,0.14286
DNAJB11,76,0.4082,8,8,14.555,1,0.19924,188.18333,6.00004,189.67168,2714,0.5
RABEP1,39,0.43905,7,8,6.99,2,0.16604,173.43333,5.73678,232.56661,1802,0.42857
DAD1,22,0.38039,6,8,10.627,2,0.19924,182.01667,5.90535,333.54347,3106,0.28571
MPHOSPH8,10,0.46346,3,7,6.093,3,0.16604,167.83333,5.60421,1374.06949,15352,0.14286
USP16,7,0.30779,2,7,7.413,3,0.19924,184.03333,5.93375,631.09102,4450,0.04762
VMP1,27,0.56839,4,7,5.822,2,0.16604,170.23333,5.69512,672.68795,4464,0.28571
LYST,7,0.30779,2,7,5.154,5,0.16604,179.65,5.87504,1797.41472,10066,0.09524
DDIT4,19,0.38039,6,7,11.906,1,0.16604,191.48333,6.03603,104.0561,1134,0.38095
UBXN4,38,0.40246,7,7,7.348,1,0.16604,175.13333,5.77656,132.45496,968,0.52381
USP15,11,0.37893,4,7,8.014,1,0.16604,181.43333,5.88262,175.87546,1350,0.2381
TMX1,7,0.30779,2,7,10.719,3,0.19924,186.83333,5.95648,896.86822,8898,0.09524
KLRB1,150,0.54881,7,7,5.163,1,0.19924,168.66667,5.65156,10.8343,130,0.71429
NT5C3A,14,0.38896,5,7,5.821,1,0.16604,161.98333,5.53034,193.612,1680,0.28571
CYSTM1,10,0.46346,3,7,6.631,2,0.16604,175.41667,5.75572,678.3845,5860,0.14286
ATP6AP2,11,0.46346,3,7,8.292,1,0.16604,179.01667,5.83527,485.85033,3332,0.2381
IKZF3,38,0.40246,7,7,9.712,1,0.19924,186.41667,5.97163,57.54043,1050,0.52381
PTP4A1,7,0.30779,2,7,13.779,2,0.19924,195.35,6.1061,850.82917,6512,0.04762
SATB1,26,0.36588,7,7,10.751,1,0.16604,188.31667,5.96406,103.85711,1368,0.47619
TBCA,124,0.43905,7,7,16.699,1,0.16604,191.23333,6.05118,19.13148,332,0.57143
FOSL2,21,0.38039,6,7,9.962,2,0.16604,184.65,5.93375,1067.67236,9766,0.38095
AP3S1,20,0.45378,5,7,5.293,1,0.16604,181.7,5.92429,269.82241,2180,0.33333
WIPF1,32,0.51861,5,7,5.337,1,0.16604,174.76667,5.77087,54.24339,528,0.42857
GGA2,55,0.52304,6,7,4.495,1,0.16604,166.36667,5.61746,161.3583,1190,0.52381
MRPL57,124,0.43905,7,7,9.732,1,0.16604,162.46667,5.49815,35.97028,488,0.57143
BTG2,10,0.46346,3,7,7.34,1,0.16604,174.43333,5.75762,485.31376,4364,0.19048
CHMP4A,16,0.2927,7,7,7.567,1,0.19924,183.06667,5.92239,214.64054,1940,0.38095
WAPAL,32,0.51861,5,7,10.569,1,0.16604,181.48333,5.86557,99.96555,858,0.42857
PPT1,6,0.30779,2,6,8.8,2,0.16604,185.03333,5.96216,240.64202,1988,0.06667
DARS,27,0.45378,5,6,17.736,1,0.16604,181.71667,5.89398,13.91246,228,0.46667
KIAA0226,144,0.61814,6,6,5.697,1,0.16604,166.81667,5.60231,22.35015,296,0.86667
SMEK1,6,0,1,6,8.165,2,0.16604,180.71667,5.88072,261.89566,2084,0
APOBEC3C,121,0.64826,5,6,11.507,1,0.19924,175.81667,5.78224,112.5936,878,0.66667
HFE,49,0.58344,5,6,10.062,1,0.16604,180.06667,5.83906,97.34499,998,0.6
SVIP,12,0.46346,3,6,4.872,1,0.16604,168.96667,5.68186,134.95051,1128,0.4
PDE4B,9,0.46346,3,6,6.059,1,0.16604,172.26667,5.73678,218.94432,1322,0.2
EVL,8,0.2842,4,6,4.014,3,0.16604,165.16667,5.58527,2109.07084,20014,0.2
DYNLRB1,6,0.30779,2,6,12.234,2,0.19924,186.05,5.96216,187.1166,1666,0.13333
TERF2IP,26,0.56839,4,6,13.274,2,0.19924,194.53333,6.08338,145.03956,1926,0.46667
TAF9,14,0.33284,6,6,10.717,1,0.16604,174.63333,5.76898,145.90995,1760,0.46667
MIA3,9,0.46346,3,6,8.228,1,0.16604,177.95,5.83527,150.10887,1118,0.26667
CHCHD7,7,0.30898,3,6,9.687,2,0.16604,177.01667,5.79739,1577.80929,16316,0.13333
MRPS36,121,0.64826,5,6,7.347,1,0.16604,153.66667,5.33148,15.36046,62,0.66667
ZNF207,6,0.30779,2,6,10.906,2,0.19924,185.56667,5.96785,1133.53883,8194,0.06667
ATP1B3,9,0.46346,3,6,9.008,1,0.19924,176.18333,5.81633,243.44999,1784,0.2
SERP1,7,0.30898,3,6,6.469,2,0.16604,169.06667,5.67428,1082.95451,14930,0.2
BLOC1S6,10,0.46346,3,6,2.226,1,0.16604,163.05,5.56254,458.75872,2420,0.33333
RSF1,15,0.38896,5,6,8.335,1,0.16604,173.33333,5.72163,50.90084,406,0.4
EIF4EBP2,12,0.28529,6,6,11.958,1,0.16604,187.01667,5.96785,120.89734,1572,0.4
CHORDC1,25,0.56839,4,5,13.085,1,0.19924,188.11667,6.01709,51.41693,504,0.6
ANP32B,5,0.30779,2,5,5.558,1,0.19924,173.38333,5.76709,129.69558,1018,0.1
CEP350,5,0,1,5,3.723,3,0.16604,164.18333,5.60042,590.54194,3854,0
TMEM33,8,0.46346,3,5,7.303,1,0.16604,179.1,5.86557,35.46918,408,0.3
BCL11B,8,0.25931,5,5,8.317,1,0.16604,185.06667,5.9508,80.0508,1658,0.4
ETV6,5,0.30779,2,5,7.669,3,0.16604,183.63333,5.92618,2030.45291,13746,0.1
SLAMF7,120,0.64826,5,5,4.447,1,0.19924,166.25,5.62693,0,0,1
SOX4,8,0.25931,5,5,10.104,1,0.16604,190.36667,6.04171,69.04497,1064,0.4
DNAJC9,5,0.30779,2,5,9.004,1,0.16604,178.81667,5.83527,77.5164,960,0.1
YPEL5,5,0.30779,2,5,7.375,3,0.16604,167,5.61936,1180.24562,11286,0.1
UTRN,5,0.30779,2,5,6.003,2,0.16604,175.25,5.78792,269.96282,1876,0.1
MIS18BP1,8,0.46346,3,5,8.61,1,0.16604,173.08333,5.72353,69.83862,540,0.4
