,ensembl_gene_id,logFC,logCPM,PValue,qval,chromosome_name,hgnc_symbol
2978,ENSG00000164209,-4.264143198,5.806380502,1.06E-05,8.34E-06,5,SLC25A46
1285,ENSG00000115738,-4.198779321,7.275297202,1.09E-05,8.56E-06,2,ID2
4237,ENSG00000205937,4.228975242,6.70130577,1.10E-05,8.63E-06,16,RNPS1
1847,ENSG00000133134,-6.093224548,2.475571109,1.12E-05,8.78E-06,X,BEX2
1044,ENSG00000108848,-4.288650448,5.717792901,1.12E-05,8.78E-06,17,LUC7L3
1962,ENSG00000135829,4.188156994,7.294000722,1.13E-05,8.85E-06,1,DHX9
1941,ENSG00000135452,4.355512926,4.946408697,1.15E-05,8.99E-06,12,TSPAN31
2552,ENSG00000151422,8.669674419,2.038608622,1.16E-05,9.07E-06,5,FER
1270,ENSG00000115339,8.669674419,2.038608622,1.16E-05,9.07E-06,2,GALNT3
3984,ENSG00000196505,-8.683057994,1.979342591,1.16E-05,9.07E-06,1,GDAP2
4202,ENSG00000204516,8.669674419,2.038608622,1.16E-05,9.07E-06,6,MICB
3547,ENSG00000175701,8.669674419,2.038608622,1.16E-05,9.07E-06,2,MTLN
1483,ENSG00000121851,-8.683057994,1.979342591,1.16E-05,9.07E-06,1,POLR3GL
728,ENSG00000100890,-8.683057994,1.979342591,1.16E-05,9.07E-06,14,PRORP
2009,ENSG00000136699,-8.683057994,1.979342591,1.16E-05,9.07E-06,2,SMPD4
1322,ENSG00000116668,-8.683057994,1.979342591,1.16E-05,9.07E-06,1,SWT1
1787,ENSG00000132109,-8.683057994,1.979342591,1.16E-05,9.07E-06,11,TRIM21
1263,ENSG00000115267,4.241546932,6.078057902,1.17E-05,9.14E-06,2,IFIH1
374,ENSG00000071575,-4.515614608,4.068919933,1.17E-05,9.14E-06,2,TRIB2
3445,ENSG00000173020,-6.071887904,2.455328395,1.21E-05,9.43E-06,11,GRK2
434,ENSG00000077147,-4.459720511,4.273603746,1.23E-05,9.58E-06,10,TM9SF3
1571,ENSG00000124767,4.700534075,3.948344781,1.24E-05,9.65E-06,6,GLO1
844,ENSG00000103966,-4.552888212,3.790316022,1.25E-05,9.72E-06,15,EHD4
4473,ENSG00000229927,5.306463949,2.829309046,1.28E-05,9.94E-06,10,RHEBP1
2555,ENSG00000151498,-8.652759025,1.950825356,1.29E-05,1.00E-05,11,ACAD8
1784,ENSG00000131979,4.83176502,3.305910837,1.29E-05,1.00E-05,14,GCH1
1323,ENSG00000116670,-8.652759025,1.950825356,1.29E-05,1.00E-05,1,MAD2L2
538,ENSG00000087095,-8.652759025,1.950825356,1.29E-05,1.00E-05,17,NLK
2878,ENSG00000163002,-8.652759025,1.950825356,1.29E-05,1.00E-05,2,NUP35
3050,ENSG00000165661,8.642774214,2.013924918,1.29E-05,1.00E-05,9,QSOX2
4674,ENSG00000244187,-8.652759025,1.950825356,1.29E-05,1.00E-05,9,TMEM141
3169,ENSG00000167671,-4.544281098,3.782165251,1.29E-05,1.00E-05,19,UBXN6
5107,ENSG00000275023,5.868984269,2.478954643,1.30E-05,1.01E-05,17,MLLT6
1741,ENSG00000130725,-6.050230959,2.43480098,1.30E-05,1.01E-05,19,UBE2M
4529,ENSG00000233954,5.868984269,2.478954643,1.30E-05,1.01E-05,1,UQCRHL
616,ENSG00000094880,4.412229145,4.540945575,1.34E-05,1.04E-05,5,CDC23
1893,ENSG00000134460,-4.132220058,7.869016956,1.34E-05,1.04E-05,10,IL2RA
3151,ENSG00000167325,-5.00798328,3.260255594,1.35E-05,1.04E-05,11,RRM1
2367,ENSG00000145287,-4.19641313,5.777669379,1.38E-05,1.07E-05,4,PLAC8
771,ENSG00000101624,5.8493909,2.460867935,1.41E-05,1.09E-05,18,CEP76
147,ENSG00000030419,5.8493909,2.460867935,1.41E-05,1.09E-05,2,IKZF2
2920,ENSG00000163634,-6.028243952,2.413980791,1.41E-05,1.09E-05,3,THOC7
229,ENSG00000055332,-4.405551371,4.335664257,1.42E-05,1.10E-05,2,EIF2AK2
301,ENSG00000066044,8.615362888,1.988805325,1.43E-05,1.10E-05,19,ELAVL1
4799,ENSG00000255733,-8.621810052,1.921741818,1.43E-05,1.10E-05,12,IFNG-AS1
2265,ENSG00000142856,8.615362888,1.988805325,1.43E-05,1.10E-05,1,ITGB3BP
2952,ENSG00000163959,8.615362888,1.988805325,1.43E-05,1.10E-05,3,SLC51A
3418,ENSG00000172345,8.615362888,1.988805325,1.43E-05,1.10E-05,15,STARD5
2712,ENSG00000157303,8.615362888,1.988805325,1.43E-05,1.10E-05,9,SUSD3
2047,ENSG00000137207,8.615362888,1.988805325,1.43E-05,1.10E-05,6,YIPF3
3120,ENSG00000166860,-8.621810052,1.921741818,1.43E-05,1.10E-05,12,ZBTB39
1115,ENSG00000111300,5.260236032,2.786473102,1.45E-05,1.12E-05,12,NAA25
1142,ENSG00000111859,5.275810504,2.800894877,1.45E-05,1.12E-05,6,NEDD9
1660,ENSG00000127957,-4.428479092,4.120923102,1.48E-05,1.14E-05,7,PMS2P3
1409,ENSG00000119508,-4.171546838,5.919305174,1.51E-05,1.16E-05,9,NR4A3
4107,ENSG00000198431,-4.128793525,6.562121926,1.51E-05,1.16E-05,12,TXNRD1
823,ENSG00000103111,-5.152260138,3.005929903,1.52E-05,1.17E-05,16,MON1B
1460,ENSG00000120910,-4.221698093,5.353839251,1.52E-05,1.17E-05,8,PPP3CC
2540,ENSG00000151135,-6.005916665,2.392859407,1.52E-05,1.17E-05,12,TMEM263
3464,ENSG00000173598,4.093725713,7.797079103,1.53E-05,1.17E-05,12,NUDT4
