,stage1,stage2
ENSG00000065427.14,441.62014,447.4489796
ENSG00000065457.10,0.678571429,0.040816327
ENSG00000065485.19,0.040540541,2.816326531
ENSG00000065491.8,24.26044643,0.102040816
ENSG00000065518.7,641.9954875,74.53040816
ENSG00000065526.10,398.8197394,222.5714286
ENSG00000065534.18,0.184604247,0.020408163
ENSG00000065548.17,605.3332529,954.1428571
ENSG00000065559.14,7.428330118,350.6938776
ENSG00000065600.12,281.0883205,849.5510204
ENSG00000065613.13,254.6085907,4.020408163
ENSG00000065615.13,65.06756757,0.755102041
ENSG00000065665.20,0.044642857,0.020408163
ENSG00000065675.14,0.053812742,362.7755102
ENSG00000065802.11,52.52244206,0.183673469
ENSG00000065809.13,1541.170125,5195.571429
ENSG00000065882.15,86.10810811,0.12244898
ENSG00000065883.14,230.0704634,70.95918367
ENSG00000065911.11,187.4138514,1196.947347
ENSG00000065923.9,175.621139,10.83673469
ENSG00000065978.18,4117.958574,5525.876122
ENSG00000065989.15,1.6875,90.40816327
ENSG00000066027.11,24.95004826,0.06122449
ENSG00000066044.14,32.39744208,52.40816327
ENSG00000066084.12,358.6035232,0.040816327
ENSG00000066117.14,37.21887066,1.795918367
ENSG00000066135.12,14.88392857,111.3297959
ENSG00000066136.20,233.8984725,2.326530612
ENSG00000066279.17,1.026785715,1.653061224
ENSG00000066294.14,241.8540058,3.346938776
ENSG00000066322.14,24.55405405,11.44897959
ENSG00000066336.11,13.06660232,0.040816327
ENSG00000066379.14,87.5366192,247.4271429
ENSG00000066422.4,340.1087331,0.224489796
ENSG00000066427.21,54.1538755,10.10306122
ENSG00000066455.12,0.103281853,0.06122449
ENSG00000066557.5,45.21307915,54.63265306
ENSG00000066583.11,122.324083,0.571428571
ENSG00000066651.18,138.4732143,13.08163265
ENSG00000066654.13,1930.51472,1169.857143
ENSG00000066697.14,0.049469112,19.42857143
ENSG00000066739.11,15.30357143,0.142857143
ENSG00000066777.8,55.31467182,91.36734694
ENSG00000066855.15,6.653513514,0.020408163
ENSG00000066923.17,452.4940637,376.1740816
ENSG00000066926.10,0.053812742,0.081632653
ENSG00000066933.15,305.1126448,65
ENSG00000067048.16,1208.47973,0.040816327
ENSG00000067057.16,52.03788609,33.36734694
ENSG00000067064.10,1304.19931,1450.606735
ENSG00000067066.16,1268.748794,1336.795918
ENSG00000067082.14,5040.201738,5500.326531
ENSG00000067113.16,0.170924228,209.6610204
ENSG00000067167.7,482.0410232,1222.163265
ENSG00000067182.7,0.531370657,0.551020408
ENSG00000067191.15,10.47321429,0.020408163
ENSG00000067208.14,81.61631273,357.2653061
ENSG00000067225.17,788.1332047,1002.428571
ENSG00000067248.9,165.9365347,216.4081633
ENSG00000067334.13,1002.998793,2108.714286
ENSG00000067369.13,68.33913851,611.8020408
ENSG00000067533.5,705.193774,426.244898
ENSG00000067560.10,2428.193533,2994.591837
ENSG00000067596.10,32.02726834,422.0204082
ENSG00000067646.11,105.777027,0.020408163
ENSG00000067704.9,167.3887548,67.40816327
ENSG00000067715.13,0.576254826,7.775510204
ENSG00000067829.18,0.196911197,452.2816327
ENSG00000067900.7,81.99234797,965.122449
ENSG00000067955.13,2.458011583,1.102040816
ENSG00000067992.12,49.53281853,0.102040816
ENSG00000068024.16,0.008928572,0.040816327
ENSG00000068028.17,77.60810811,289.5
ENSG00000068079.7,18.95608108,343.3061224
ENSG00000068097.14,116.1148649,0.183673469
ENSG00000068120.14,19.83566602,0.081632653
ENSG00000068305.17,393.2359629,860.3022449
ENSG00000068308.13,58.84025096,0.183673469
ENSG00000068323.16,0.053571429,0.244897959
ENSG00000068354.15,1.558156371,0.979591837
ENSG00000068366.19,342.2647201,0.408163265
ENSG00000068383.18,26.90178572,36.08163265
